No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2013,19,1009.235,0,24.96357,121.54951,22.3
2,2012.833,18,6306.153,1,24.95743,121.47516,15
3,2013.167,39.2,424.7132,7,24.97429,121.53917,30
4,2012.917,31.7,1159.454,0,24.9496,121.53018,13.8
5,2012.833,5.9,90.45606,9,24.97433,121.5431,52.7
6,2012.667,30.4,1735.595,2,24.96464,121.51623,25.9
7,2012.667,1.1,329.9747,5,24.98254,121.54395,51.8
8,2013.417,31.5,5512.038,1,24.95095,121.48458,17.4
9,2012.667,14.6,339.2289,1,24.97519,121.53151,26.5
10,2013.25,17.3,444.1334,1,24.97501,121.5273,43.9
11,2013.417,0,292.9978,6,24.97744,121.54458,63.3
12,2013.083,17.7,837.7233,0,24.96334,121.54767,28.8
13,2013.25,17,1485.097,4,24.97073,121.517,30.7
14,2013.167,16.2,2288.011,3,24.95885,121.51359,24.4
15,2012.917,15.9,289.3248,5,24.98203,121.54348,53
16,2013.417,3.9,2147.376,3,24.96299,121.51284,31.7
17,2013.167,32.6,493.657,7,24.96968,121.54522,40.6
18,2012.833,15.7,815.9314,4,24.97886,121.53464,38.1
19,2013.25,17.8,1783.18,3,24.96731,121.51486,23.7
20,2012.833,34.7,482.7581,5,24.97433,121.53863,41.1
21,2013.417,17.2,390.5684,5,24.97937,121.54245,40.1
22,2013,17.6,837.7233,0,24.96334,121.54767,23
23,2013.333,10.8,252.5822,1,24.9746,121.53046,117.5
24,2012.917,17.7,451.6419,8,24.96945,121.5449,26.5
25,2012.75,13,492.2313,5,24.96515,121.53737,40.5
26,2013.417,13.2,170.1289,1,24.97371,121.52984,29.3
27,2013.167,27.5,394.0173,7,24.97305,121.53994,41
28,2012.667,1.5,23.38284,7,24.96772,121.54102,49.7
29,2013,19.1,461.1016,5,24.95425,121.5399,34
30,2013.417,21.2,2185.128,3,24.96322,121.51237,27.7
31,2012.75,0,208.3905,6,24.95618,121.53844,44
32,2013.417,2.6,1554.25,3,24.97026,121.51642,31.1
33,2013.25,2.3,184.3302,6,24.96581,121.54086,45.4
34,2013.333,4.7,387.7721,9,24.98118,121.53788,44.8
35,2012.917,2,1455.798,1,24.9512,121.549,25.6
36,2013.417,33.5,1978.671,2,24.98674,121.51844,23.5
37,2012.917,15,383.2805,7,24.96735,121.54464,34.4
38,2013.167,30.1,718.2937,3,24.97509,121.53644,55.3
39,2012.917,5.9,90.45606,9,24.97433,121.5431,56.3
40,2013,19.2,461.1016,5,24.95425,121.5399,32.9
41,2013.583,16.6,323.6912,6,24.97841,121.5428,51
42,2013.333,13.9,289.3248,5,24.98203,121.54348,44.5
43,2013.083,37.7,490.3446,0,24.97217,121.53471,37
44,2012.833,3.4,56.47425,7,24.95744,121.53711,54.4
45,2013.083,17.5,395.6747,5,24.95674,121.534,24.5
46,2012.667,12.6,383.2805,7,24.96735,121.54464,42.5
47,2013.5,26.4,335.5273,6,24.9796,121.5414,38.1
48,2013.167,18.2,2179.59,3,24.96299,121.51252,21.8
49,2012.75,12.5,1144.436,4,24.99176,121.53456,34.1
50,2012.833,34.9,567.0349,4,24.97003,121.5458,28.5
51,2013.333,16.7,4082.015,0,24.94155,121.50381,16.7
52,2013.167,33.2,121.7262,10,24.98178,121.54059,46.1
53,2013.083,2.5,156.2442,4,24.96696,121.53992,36.9
54,2012.75,38,461.7848,0,24.97229,121.53445,35.7
55,2013.5,16.5,2288.011,3,24.95885,121.51359,23.2
56,2013.5,38.3,439.7105,0,24.97161,121.53423,38.4
57,2013.417,20,1626.083,3,24.96622,121.51668,29.4
58,2013.083,16.2,289.3248,5,24.98203,121.54348,55
59,2013.5,14.4,169.9803,1,24.97369,121.52979,50.2
60,2012.833,10.3,3079.89,0,24.9546,121.56627,24.7
61,2013.417,16.4,289.3248,5,24.98203,121.54348,53
62,2013.25,30.3,1264.73,0,24.94883,121.52954,19.1
63,2013.583,16.4,1643.499,2,24.95394,121.55174,24.7
64,2013.167,21.3,537.7971,4,24.97425,121.53814,42.2
65,2013.583,35.4,318.5292,9,24.97071,121.54069,78
66,2013.333,8.3,104.8101,5,24.96674,121.54067,42.8
67,2013.25,3.7,577.9615,6,24.97201,121.54722,41.6
68,2013.083,15.6,1756.411,2,24.9832,121.51812,27.3
69,2013.25,13.3,250.631,7,24.96606,121.54297,42
70,2012.75,15.6,752.7669,2,24.97795,121.53451,37.5
71,2013.333,7.1,379.5575,10,24.98343,121.53762,49.8
72,2013.25,34.6,272.6783,5,24.95562,121.53872,26.9
73,2012.75,13.5,4197.349,0,24.93885,121.50383,18.6
74,2012.917,16.9,964.7496,4,24.98872,121.53411,37.7
75,2013,12.9,187.4823,1,24.97388,121.52981,33.1
76,2013.417,28.6,197.1338,6,24.97631,121.54436,42.5
77,2012.667,12.4,1712.632,2,24.96412,121.5167,31.3
78,2013.083,36.6,488.8193,8,24.97015,121.54494,38.1
79,2013.5,4.1,56.47425,7,24.95744,121.53711,62.1
80,2013.417,3.5,757.3377,3,24.97538,121.54971,36.7
81,2012.833,15.9,1497.713,3,24.97003,121.51696,23.6
82,2013,13.6,4197.349,0,24.93885,121.50383,19.2
83,2013.083,32,1156.777,0,24.94935,121.53046,12.8
84,2013.333,25.6,4519.69,0,24.94826,121.49587,15.6
85,2013.167,39.8,617.7134,2,24.97577,121.53475,39.6
86,2012.75,7.8,104.8101,5,24.96674,121.54067,38.4
87,2012.917,30,1013.341,5,24.99006,121.5346,22.8
88,2013.583,27.3,337.6016,6,24.96431,121.54063,36.5
89,2012.833,5.1,1867.233,2,24.98407,121.51748,35.6
90,2012.833,31.3,600.8604,5,24.96871,121.54651,30.9
91,2012.917,31.5,258.186,9,24.96867,121.54331,36.3
92,2013.333,1.7,329.9747,5,24.98254,121.54395,50.4
93,2013.333,33.6,270.8895,0,24.97281,121.53265,42.9
94,2013,13,750.0704,2,24.97371,121.54951,37
95,2012.667,5.7,90.45606,9,24.97433,121.5431,53.5
96,2013,33.5,563.2854,8,24.98223,121.53597,46.6
97,2013.5,34.6,3085.17,0,24.998,121.5155,41.2
98,2012.667,0,185.4296,0,24.9711,121.5317,37.9
99,2013.417,13.2,1712.632,2,24.96412,121.5167,30.8
100,2013.583,17.4,6488.021,1,24.95719,121.47353,11.2
101,2012.833,4.6,259.6607,6,24.97585,121.54516,53.7
102,2012.75,7.8,104.8101,5,24.96674,121.54067,47
103,2013,13.2,492.2313,5,24.96515,121.53737,42.3
104,2012.833,4,2180.245,3,24.96324,121.51241,28.6
105,2012.833,18.4,2674.961,3,24.96143,121.50827,25.7
106,2013.5,4.1,2147.376,3,24.96299,121.51284,31.3
107,2013.417,12.2,1360.139,1,24.95204,121.54842,30.1
108,2013.25,3.8,383.8624,5,24.98085,121.54391,60.7
109,2012.833,10.3,211.4473,1,24.97417,121.52999,45.3
110,2013.417,0,338.9679,9,24.96853,121.54413,44.9
111,2013.167,1.1,193.5845,6,24.96571,121.54089,45.1
112,2013.5,5.6,2408.993,0,24.95505,121.55964,24.7
113,2012.667,32.9,87.30222,10,24.983,121.54022,47.1
114,2013.083,41.4,281.205,8,24.97345,121.54093,63.3
115,2013.417,17.1,967.4,4,24.98872,121.53408,40
116,2013.5,32.3,109.9455,10,24.98182,121.54086,48
117,2013.417,35.3,614.1394,7,24.97913,121.53666,33.1
118,2012.917,17.3,2261.432,4,24.96182,121.51222,29.5
119,2012.75,14.2,1801.544,1,24.95153,121.55254,24.8
120,2012.833,15,1828.319,2,24.96464,121.51531,20.9
121,2013.417,18.2,350.8515,1,24.97544,121.53119,43.1
122,2012.667,20.2,2185.128,3,24.96322,121.51237,22.8
123,2012.75,15.9,289.3248,5,24.98203,121.54348,42.1
124,2013.5,4.1,312.8963,5,24.95591,121.53956,51.7
125,2013,33.9,157.6052,7,24.96628,121.54196,41.5
126,2013.083,0,274.0144,1,24.9748,121.53059,52.2
127,2013.25,5.4,390.5684,5,24.97937,121.54245,49.5
128,2013.25,21.7,1157.988,0,24.96165,121.55011,23.8
129,2013.417,14.7,1717.193,2,24.96447,121.51649,30.5
130,2013.333,3.9,49.66105,8,24.95836,121.53756,56.8
131,2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
132,2013.333,0,292.9978,6,24.97744,121.54458,69.7
133,2013.333,14.1,289.3248,5,24.98203,121.54348,53.3
134,2013.417,8,132.5469,9,24.98298,121.53981,47.3
135,2013,16.3,3529.564,0,24.93207,121.51597,29.3
136,2012.667,29.1,506.1144,4,24.97845,121.53889,40.3
137,2012.75,16.1,4066.587,0,24.94297,121.50342,12.9
138,2013,18.3,82.88643,10,24.983,121.54026,46.6
139,2012.833,0,185.4296,0,24.9711,121.5317,55.3
140,2013.25,16.2,2103.555,3,24.96042,121.51462,25.6
141,2013.5,10.4,2251.938,4,24.95957,121.51353,27.3
142,2013.25,40.9,122.3619,8,24.96756,121.5423,67.7
143,2013.5,32.8,377.8302,9,24.97151,121.5435,38.6
144,2013.583,6.2,1939.749,1,24.95155,121.55387,31.3
145,2013.083,42.7,443.802,6,24.97927,121.53874,35.3
146,2013,16.9,967.4,4,24.98872,121.53408,40.3
147,2013.5,32.6,4136.271,1,24.95544,121.4963,24.7
148,2012.917,21.2,512.5487,4,24.974,121.53842,42.5
149,2012.667,37.1,918.6357,1,24.97198,121.55063,31.9
150,2013.417,13.1,1164.838,4,24.99156,121.53406,32.2
151,2013.417,14.7,1717.193,2,24.96447,121.51649,23
152,2012.917,12.7,170.1289,1,24.97371,121.52984,37.3
153,2013.25,26.8,482.7581,5,24.97433,121.53863,35.5
154,2013.083,7.6,2175.03,3,24.96305,121.51254,27.7
155,2012.833,12.7,187.4823,1,24.97388,121.52981,28.5
156,2012.667,30.9,161.942,9,24.98353,121.53966,39.7
157,2013.333,16.4,289.3248,5,24.98203,121.54348,41.2
158,2012.667,23,130.9945,6,24.95663,121.53765,37.2
159,2013.167,1.9,372.1386,7,24.97293,121.54026,40.5
160,2013,5.2,2408.993,0,24.95505,121.55964,22.3
161,2013.417,18.5,2175.744,3,24.9633,121.51243,28.1
162,2013,13.7,4082.015,0,24.94155,121.50381,15.4
163,2012.667,5.6,90.45606,9,24.97433,121.5431,50
164,2013.25,18.8,390.9696,7,24.97923,121.53986,40.6
165,2013,8.1,104.8101,5,24.96674,121.54067,52.5
166,2013.5,6.5,90.45606,9,24.97433,121.5431,63.9
